BUSName,BUSStreetName,BUSPostalCode,BUSCityName,BUSCode,COM_GRPName,BUSCountryCode,BUSCountryName
SHB COMERCIO E INDUSTRIA DE ALIMENTOS S. A.,"ROD. BR 163, KM 597 - BAIRRO: SETOR INDUSTRIAL",Nova Mutum,Mato Grosso,4567,Poultry meat preparations,BR,Brazil
VIBRA AGROINDUSTRIAL S/A,.,Pato Branco,Paraná,2212,MM (minced meat and meat preparations),BR,Brazil
Zanchetta Alimentos Ltda.,Rod SP - 129,Boituva,São Paulo,2758,Poultry meat preparations,BR,Brazil
Botsford Fisheries Ltd,.,Cap Pele,New Brunswick,1207,smoked fish,CA,Canada
Faenadora San Vicente Ltda.,.,San Vicente De Tagua Tagua,VI Libertador General Bernardo O'Higgins,06-Aug,Poultry meat preparations,CL,Chile
"Anqing AHCOF Food Co., Ltd",.,Anqing,Anhui,3400/02037,FFP (fishery products),CN,China
"Dalian Shenghua Sea Food Co., Ltd.",.,Jinzhou District,Dalian,2100/02016,Surimi and products under CN 160420,CN,China
"Dalian Youlian Seafood Co., Ltd.",.,Jinzhou District,Dalian,2100/29020,Surimi and products under CN 160420,CN,China
Hainan Brich Aquatic Products Co. Ltd.,"No.1, Guilinyang Development Zone",Haikou,Hainan,4600/02038,FFP (fishery products),CN,China
"Hairoad Food Zhejiang Co., Ltd.",.,Zhoushan,Zhejiang,3300/02252,"heavy metals susceptible fish, molluscs, crustaceans",CN,China
"Hangzhou Rongshun Animal By-Products Co., Ltd.",.,Hangzhou,Zhejiang,3300/05017,Unique Commodity Code Group for  05040000,CN,China
"Honghu Deyan Aquatic Products & Foodstuff Co., Led.",.,Honghu,Hubei,4200/02020,FFP (fishery products),CN,China
JIANGSU S-SWING FOOD CO. LTD,"NO. A20, THIRD INDUSTRIAL PARK LIANGXU TOWN, JIANGYAN DISTRICT",Taizhou,Jiangsu,3200/06011,Unique Commodity Code Group for  04090000,CN,China
Nantong Hongda Casing Co. Ltd.,8 Liyu Rd,Rugao,Jiangsu,3200/05102,Unique Commodity Code Group for  05040000,CN,China
PINGYANG HUAXING LEATHER & PLASTIC CO LTD,"No.13 Nange Road Leather, Manufacturing Zone, Tengjiao Pingjang, Zheijiang, China",Zhejiang,Zhejiang,3300PF029,Unique Commodity Code Group for  230910,CN,China
"Shandong Changhua Industrial Development Co., Ltd.",.,Rizhao,Shandong,3700/02595,Surimi and products under CN 160420,CN,China
"Shandong Haida Foods Co., Ltd.",.,Qiyuan City,Shangdong,3700/03089,Rabbit meat,CN,China
"Shandong Luscious Pet Food Co., Ltd.","Advanced Industrial Park, Yangkou Town, Shouguang, Shandong, China",Weifang,Shandong,3700PF066,"Petfood, CN 230910",CN,China
9 MAR S.A. NUEVEMARSA,.,Chanduy,Santa Elena,6903,"heavy metals susceptible fish, molluscs, crustaceans",EC,Ecuador
Industria Conservera De La Pesca Cia. Ltda. (Incopes),"Av. 3era. Oeste 542, Mapasingue ",Guayaquil,Guayas,62,Prepared fish 1604,EC,Ecuador
"Pescados, Camarones Y Mariscos S.A. DOCAPES",EL MALECON DE SANTA ROSA P.O. BOX 9631,Salinas,Guayas,197,"heavy metals susceptible fish, molluscs, crustaceans",EC,Ecuador
PROTEINAS DE ECUADOR ECUAPROTEIN S.A.,Lotización Fincas Vacacionales Las Brisas  Solar 19,Duran,Guayas,PH - 3152,Unique Commodity Code Group for  23012000,EC,Ecuador
Alandlouse Co. For Fish Processor,.,New Damiatta City,Domiatta,057.F.I,"heavy metals susceptible fish, molluscs, crustaceans",EG,Egypt
El Radwan Company for Cooling and Freezing Fish,.,Port Said,Port Said,066.F.III,Sulphites group: crustaceans,EG,Egypt
ELMASREYA FOUNDATION FOR IMPORT & EXPORT,2nd Industrial Zone B2 - Piece C1 - Part C,10 Ramadan City,Sharkia,015.F.I,"heavy metals susceptible fish, molluscs, crustaceans",EG,Egypt
Mékathon,BP 9433 Motu Uta,Papeete,Île du Vent,1025 PF,"FFP, excluding molluscs and crustaceans",PF,French Polynesia
Cipomaah Ent.,.,Ashaiman,Greater Accra,GS/SF/E105,Smoked FFP,GH,Ghana
KPONE LOBSTER EXPORT CO. LTD,.,Kpone,Greater Accra,GS/SF/E006,heavy metal susceptible fish,GH,Ghana
"Liwon Ent. Ltd., P.M.B.",.,Tema,Greater Accra,GSB/SF/E855,Smoked FFP,GH,Ghana
Mapopeche I,Opposite chop-sticks restaurant,Tema,Greater Accra,GS/SF/E041,"heavy metals susceptible fish, molluscs, crustaceans",GH,Ghana
"Industria Atunera Centroamericana, S.A.",Escuintla,Escuintla,Escuintla,EEH-GT-05-05-001-131,Unique Commodity Code Group for  23012000,GT,Guatemala
AMRIT FOOD PRODUCT,"PLOT NO. P-6, SITE NO.-I, UPSIDC INDUSTRIAL AREA",Unnao,Uttar Pradesh,CAPEXIL/NR/PR/ABP-PET/2012-2013/38,Dog chews,IN,India
ANUM INTERNATIONAL,SITE-II INDUSTRIAL AREA,Unnao,Uttar Pradesh,CAPEXIL/NR/PLANT REGISTRATION/BP/2011/2012/32,Dog chews,IN,India
ANUM INTERNATIONAL,"F-2, SITE-II, INDUSTRIAL AREA,",Unnao,Uttar Pradesh,CAPEXIL/NR/PAC/ABP-PET/1516/042,"Petfood, CN 230910",IN,India
EURO EXIM MANUFACTURER & EXPORTER,"P-9, INDUSTRIAL AREA, SITE-I",Unnao,Uttar Pradesh,CAPEXIL/NR/PLANT REGISTRATION/BP/2011-2012/31,Dog chews,IN,India
J.S. INTERNATIONAL,"B-15 TO B-31, UPSIDC INDUSTRIAL AREA, LEATHER TECHNOLOGY PARK, BANTHAR, ",Unnao,Uttar Pradesh,CAPEXIL/NR/PAC/ABP-PET/1516/032,"Petfood, CN 230910",IN,India
J.S. INTERNATIONAL,"B-15 TO B-31 UPSIDC INDUSTRIAL AREA, LEATHER TECHNOLOGY PARK, BANTHAR",Unnao,Uttar Pradesh,CAPEXIL/NR/PR/ABP-PET/2010-2011/21,Unique Commodity Code Group for  230910,IN,India
M/s Aftab Marine Exports,"Plot No. 1003, GIDC Estate, Pin-362269",Veraval,Gujarat,1177,"heavy metals susceptible fish, molluscs, crustaceans",IN,India
M/s Alps Ice & Cold Storage Pvt. Ltd.,.,Mumbai,Maharashtra,1108,FFP (fishery products),IN,India
M/s Anjaneya Seafoods,.,Kodavaluru,Andhra Pradesh,927,FFP (fishery products),IN,India
M/s BMR Industries Private Limited,.,Dagadarthi,Andhra Pradesh,1845,FFP (fishery products),IN,India
M/s Capithan Exporting Co.,.,Sakthikulangara,Kerala,520,"heavy metals susceptible fish, molluscs, crustaceans",IN,India
M/s Cochin Frozen Food Exports Pvt Ltd,"AArookutty Ferry Road, IV/475",Aroor,Kerala,658,"FFP, excluding molluscs and crustaceans",IN,India
M/s EL TE Marine Products,.,Chandiroor,Kerala,676,FFP (fishery products),IN,India
M/s Geo Aquatic Products Pvt. Ltd.,Veluthully Road,Chandiroor,Kerala,732,FFP (fishery products),IN,India
M/s HMG Industries Ltd.,"C-21/6, MIDC TTC Arca, Pawne",Vashi,Maharashtra,234,"Shrimps, CN 0306",IN,India
M/s Indo French Shellfish Company Pvt. Ltd.,.,Alappuzha,Kerala,1529,FFP (fishery products),IN,India
